0.56,1.41,7.20
0.27,0.89,6.54
1.73,1.93,7.16
2.00,1.29,5.66
1.22,1.79,7.29
0.14,1.71,8.41
0.35,1.17,7.07
0.61,0.57,5.61
1.50,0.55,4.51
0.96,0.62,5.33
1.34,0.95,5.54
1.51,1.18,5.82
1.66,1.04,5.39
1.33,1.62,6.94
1.81,0.41,3.85
1.60,1.17,5.62
1.59,0.46,4.52
1.58,1.74,7.13
0.97,1.54,6.81
0.88,0.19,4.48
0.42,1.23,6.98
0.60,0.17,4.83
0.46,0.84,6.29
1.36,1.00,5.56
0.91,1.46,7.20
0.43,0.88,6.25
0.70,1.65,7.44
1.20,1.25,6.47
1.91,1.49,6.05
0.19,1.97,8.69
0.94,0.02,4.04
1.77,0.11,3.38
0.31,1.98,8.59
1.03,0.72,5.25
0.02,1.63,8.41
1.46,1.55,6.71
1.68,0.14,3.59
0.76,0.34,4.92
0.56,1.93,8.32
0.87,0.40,4.89
1.18,0.42,4.66
0.52,0.96,6.30
0.75,1.82,7.83
0.46,0.66,5.65
0.12,0.74,6.34
0.98,1.83,7.66
1.36,0.69,5.08
0.67,1.80,7.97
1.02,0.71,5.31
0.57,1.64,7.73
1.30,0.06,3.90
0.94,0.05,4.24
1.66,0.74,4.72
0.75,0.01,4.39
1.08,0.95,5.76
1.17,0.33,4.51
0.01,1.11,7.38
0.69,1.42,7.19
0.57,1.64,7.62
1.91,1.42,5.56
1.66,1.85,6.97
0.24,0.26,5.41
0.90,0.71,5.35
1.91,0.36,3.82
1.37,1.51,6.62
0.98,1.64,7.19
1.61,1.36,6.13
1.28,1.11,6.05
0.97,1.83,7.47
0.08,0.96,6.65
0.00,1.27,7.63
1.69,0.26,3.73
0.09,1.34,7.60
1.28,1.50,6.70
1.29,0.14,4.01
1.66,0.01,3.32
0.23,0.17,5.08
1.99,1.09,5.22
1.99,1.31,5.73
0.08,0.24,5.34
1.15,1.59,7.03
1.61,0.64,4.74
1.38,1.38,6.44
1.47,1.46,6.52
0.17,1.50,7.90
0.18,0.24,5.08
1.83,0.93,5.17
0.94,1.83,7.66
1.69,0.79,5.05
0.97,1.82,7.69
0.55,1.98,8.39
0.81,1.88,7.92
0.82,1.01,6.28
1.54,0.55,4.51
1.29,0.97,5.59
0.05,0.65,6.31
1.94,1.73,6.48
0.29,1.69,7.92
0.64,0.50,5.50
0.14,1.76,8.49
